session_id,query_id,score_type,best_gold_score,strongest_nongold_score,margin,positive_margin
S003,S003-Q056,C3 Dense,0.5221919417381287,0.5534404516220093,-0.031248509883880615,False
S003,S003-Q056,Task cosine,0.6458126095421678,0.7254431680109005,-0.07963055846873268,False
S003,S003-Q056,Fact cosine,0.44140759110450745,0.45678651332855225,-0.0153789222240448,False
S003,S003-Q056,Relation cosine,0.584683895111084,0.6914905309677124,-0.10680663585662842,False
S003,S003-Q056,Field-aware final,0.5518248592808869,0.5879711397100231,-0.03614628042913626,False
S003,S003-Q063,C3 Dense,0.4438685476779938,0.5446704030036926,-0.10080185532569885,False
S003,S003-Q063,Task cosine,0.6100370419069578,0.7285355925559998,-0.11849855064904191,False
S003,S003-Q063,Fact cosine,0.34252965450286865,0.39199134707450867,-0.049461692571640015,False
S003,S003-Q063,Relation cosine,0.5883117914199829,0.6055242419242859,-0.01721245050430298,False
S003,S003-Q063,Field-aware final,0.49868903684792715,0.5379464149475097,-0.039257378099582574,False
S003,S003-Q065,C3 Dense,0.4429168999195099,0.5336565971374512,-0.09073969721794128,False
S003,S003-Q065,Task cosine,0.6743125125356026,0.8038318157196045,-0.12951930318400184,False
S003,S003-Q065,Fact cosine,0.2491414397443199,0.27246542408856295,-0.023323984344243043,False
S003,S003-Q065,Relation cosine,0.5283895449870554,0.6294950622019209,-0.10110551721486549,False
S003,S003-Q065,Field-aware final,0.45992055836078743,0.5222608805136773,-0.062340322152889815,False
S003,S003-Q066,C3 Dense,0.48954805731773376,0.47680389881134033,0.012744158506393433,True
S003,S003-Q066,Task cosine,0.6540614160335908,0.6838726432095724,-0.029811227175981614,False
S003,S003-Q066,Fact cosine,0.3714136932595142,0.37032973766326904,0.0010839555962451342,True
S003,S003-Q066,Relation cosine,0.5161086916923523,0.5573859214782715,-0.04127722978591919,False
S003,S003-Q066,Field-aware final,0.5134117820557125,0.511519430270941,0.0018923517847714288,True
S003,S003-Q070,C3 Dense,0.4601253867149353,0.4860319495201111,-0.02590656280517578,False
S003,S003-Q070,Task cosine,0.6334829111983127,0.6694344484131871,-0.03595153721487443,False
S003,S003-Q070,Fact cosine,0.36555543541908264,0.40195432305336,-0.036398887634277344,False
S003,S003-Q070,Relation cosine,0.4854836455275801,0.5513328313827515,-0.06584918585517135,False
S003,S003-Q070,Field-aware final,0.4967120677524742,0.5067268999063936,-0.010014832153919462,False
S003,S003-Q077,C3 Dense,0.6070505380630493,0.6574694514274597,-0.0504189133644104,False
S003,S003-Q077,Task cosine,0.627338171005249,0.7015976905822754,-0.07425951957702637,False
S003,S003-Q077,Fact cosine,0.49811041355133057,0.5155136585235596,-0.017403244972229004,False
S003,S003-Q077,Relation cosine,0.8491975665092468,0.8905633622743703,-0.04136579576512345,False
S003,S003-Q077,Field-aware final,0.6107462406158447,0.6331632852554321,-0.02241704463958738,False
S003,S003-Q078,C3 Dense,0.5364928841590881,0.5640659928321838,-0.027573108673095703,False
S003,S003-Q078,Task cosine,0.6219913138145992,0.6947576999664307,-0.07276638615183151,False
S003,S003-Q078,Fact cosine,0.43045271272030916,0.4316210150718689,-0.0011683023515597357,False
S003,S003-Q078,Relation cosine,0.5669043064117432,0.618288613455809,-0.051384307044065824,False
S003,S003-Q078,Field-aware final,0.5318993001458958,0.5609444856643677,-0.029045185518471905,False
S003,S003-Q084,C3 Dense,0.6417790651321411,0.716540515422821,-0.07476145029067993,False
S003,S003-Q084,Task cosine,0.6751582622528076,0.6963563380453788,-0.021198075792571158,False
S003,S003-Q084,Fact cosine,0.5552602476191816,0.6141564020011665,-0.05889615438198492,False
S003,S003-Q084,Relation cosine,0.629754900932312,0.7463726997375488,-0.11661779880523682,False
S003,S003-Q084,Field-aware final,0.6181183841352581,0.6525786426971558,-0.034460258561897716,False
S003,S003-Q088,C3 Dense,0.6042231917381287,0.6389326453208923,-0.03470945358276367,False
